scrape_date,rank,provider,product_name,aer,duplicate_key
2026-06-26,1,Sidekick,Sidekick Multi Shield,4.23,Sidekick|Sidekick Multi Shield|4.23
2026-06-26,2,Tesco Bank,Internet Saver,4.16,Tesco Bank|Internet Saver|4.16
2026-06-26,3,Spring,Easy Saver,3.82,Spring|Easy Saver|3.82
2026-06-26,4,SAGA,Saga Easy Access Savings Account,4.11,SAGA|Saga Easy Access Savings Account|4.11
2026-06-26,5,LHV Bank,Easy Access,4.15,LHV Bank|Easy Access|4.15
2026-06-26,6,OakNorth Bank,Easy Access Tracker - Issue 13,4.14,OakNorth Bank|Easy Access Tracker - Issue 13|4.14
2026-06-26,7,Revolut,Instant Access Savings - Standard,5.00,Revolut|Instant Access Savings - Standard|5.00
2026-06-26,8,Yorkshire Building Society,Triple Access eSaver,4.20,Yorkshire Building Society|Triple Access eSaver|4.20
2026-06-26,9,Monument Bank,Easy Access Account,3.62,Monument Bank|Easy Access Account|3.62
2026-06-26,10,Post Office Money®,Online Saver Issue 88,4.15,Post Office Money®|Online Saver Issue 88|4.15
2026-06-26,11,Investec Save,Online Flexi Saver,3.79,Investec Save|Online Flexi Saver|3.79
2026-06-26,12,Cambridge BS,Double Access Saver,4.10,Cambridge BS|Double Access Saver|4.10
2026-06-26,13,United Trust Bank,UTB Easy Access Account,3.75,United Trust Bank|UTB Easy Access Account|3.75
2026-06-26,14,Yorkshire Building Society,Easy Access Saver Issue 3,3.65,Yorkshire Building Society|Easy Access Saver Issue 3|3.65
2026-06-26,15,RCI Bank UK,Freedom Savings Account,3.95,RCI Bank UK|Freedom Savings Account|3.95
2026-06-26,16,Hampshire Trust Bank,Easy Access Online Saver (Issue 35),4.24,Hampshire Trust Bank|Easy Access Online Saver (Issue 35)|4.24
2026-06-26,17,Aldermore,Double Access Account (Issue 8),4.00,Aldermore|Double Access Account (Issue 8)|4.00
2026-06-26,18,Harpenden BS,Online Single Access (Issue 3),4.06,Harpenden BS|Online Single Access (Issue 3)|4.06
2026-06-26,19,Marcus by Goldman Sachs®,Online Savings Account,3.75,Marcus by Goldman Sachs®|Online Savings Account|3.75
2026-06-26,20,Chetwood Bank,Easy Access Account,3.58,Chetwood Bank|Easy Access Account|3.58
2026-06-26,21,Investec Bank plc,Easy Access Account,4.05,Investec Bank plc|Easy Access Account|4.05
2026-06-26,22,Skipton BS,Two Access Saver Issue 1,3.90,Skipton BS|Two Access Saver Issue 1|3.90
2026-06-26,23,UBL UK,Easy Access Account,3.80,UBL UK|Easy Access Account|3.80
2026-06-26,24,QIB (UK),Easy Access Account,3.90,QIB (UK)|Easy Access Account|3.90
2026-06-26,25,Atom Bank,Easy Access Account,3.91,Atom Bank|Easy Access Account|3.91
2026-06-26,26,Allica Bank,Easy Access Account,3.65,Allica Bank|Easy Access Account|3.65
2026-06-26,27,Plum,Easy Access Savings Pocket - Max,3.63,Plum|Easy Access Savings Pocket - Max|3.63
2026-06-26,28,Whiteaway Laidlaw,Easy Access Account,3.95,Whiteaway Laidlaw|Easy Access Account|3.95
2026-06-26,29,Brown Shipley,Easy Access Account,3.58,Brown Shipley|Easy Access Account|3.58
2026-06-26,30,"Wealthify, an Aviva company",Instant Access Savings Account,3.35,"Wealthify, an Aviva company|Instant Access Savings Account|3.35"
2026-06-26,31,Melton BS,Easy Access Account,3.90,Melton BS|Easy Access Account|3.90
2026-06-26,32,Kroo Bank Ltd,Easy Access Account,3.51,Kroo Bank Ltd|Easy Access Account|3.51
2026-06-26,33,Nottingham BS,Bonus Access Saver 16,3.80,Nottingham BS|Bonus Access Saver 16|3.80
2026-06-26,34,Emma,Easy Access Pot - Ultimate,3.20,Emma|Easy Access Pot - Ultimate|3.20
2026-06-26,35,Buckinghamshire BS,Single Access Saver,2.90,Buckinghamshire BS|Single Access Saver|2.90
